,bhk,type,area,price,price_unit,region,status
19539,2,Apartment,1000,2.15,Cr,Andheri,Ready to move
19690,1,Apartment,416,25,L,Andheri,Under Construction
19735,2,Apartment,950,1.55,Cr,Andheri,Ready to move
19736,1,Apartment,600,1.1,Cr,Andheri,Ready to move
20165,2,Apartment,1150,2.3,Cr,Andheri,Ready to move
20188,1,Apartment,470,1.1,Cr,Andheri,Ready to move
20468,2,Apartment,850,1.45,Cr,Andheri,Ready to move
20650,2,Apartment,850,2.5,Cr,Andheri,Ready to move
21005,2,Apartment,1000,1.63,Cr,Andheri,Under Construction
21006,2,Apartment,950,1.55,Cr,Andheri,Under Construction
21007,1,Apartment,625,98,L,Andheri,Under Construction
22293,1,Apartment,600,1.35,Cr,Andheri,Ready to move
22294,3,Apartment,1300,2.5,Cr,Andheri,Ready to move
22295,1,Apartment,684,1.15,Cr,Andheri,Ready to move
22847,2,Apartment,1020,1.8,Cr,Andheri,Ready to move
22848,1,Apartment,650,1.23,Cr,Andheri,Ready to move
22849,2,Apartment,1240,2,Cr,Andheri,Ready to move
22850,1,Apartment,1010,1.15,Cr,Andheri,Ready to move
22851,1,Studio Apartment,530,90,L,Andheri,Ready to move
23166,2,Apartment,1700,2.99,Cr,Andheri,Ready to move
23248,3,Apartment,901,2.96,Cr,Andheri,Under Construction
23249,2,Apartment,720,2.36,Cr,Andheri,Under Construction
23250,3,Apartment,1011,3.32,Cr,Andheri,Under Construction
23251,3,Apartment,910,2.99,Cr,Andheri,Under Construction
23252,2,Apartment,776,2.55,Cr,Andheri,Under Construction
23253,3,Apartment,899,2.95,Cr,Andheri,Under Construction
23334,1,Apartment,459,1.21,Cr,Andheri,Under Construction
23335,2,Apartment,915,2.4,Cr,Andheri,Under Construction
23336,1,Apartment,454,1.2,Cr,Andheri,Under Construction
23337,2,Apartment,747,1.9,Cr,Andheri,Under Construction
23434,2,Apartment,1475,2.28,Cr,Andheri,Ready to move
24091,3,Apartment,1250,2.3,Cr,Andheri,Ready to move
24226,2,Apartment,687,1.9,Cr,Andheri,Ready to move
24227,1,Apartment,444,1.2,Cr,Andheri,Ready to move
24228,2,Apartment,691,1.91,Cr,Andheri,Ready to move
24229,3,Apartment,909,2.5,Cr,Andheri,Ready to move
24230,1,Apartment,465,1.25,Cr,Andheri,Ready to move
24231,2,Apartment,612,1.7,Cr,Andheri,Ready to move
24232,2,Apartment,667,1.85,Cr,Andheri,Ready to move
24243,2,Apartment,975,2.15,Cr,Andheri,Under Construction
24259,1,Apartment,1200,1.89,Cr,Andheri,Ready to move
25406,2,Apartment,818,3.3,Cr,Andheri,Ready to move
25407,3,Apartment,1321,5.31,Cr,Andheri,Ready to move
25408,2,Apartment,1016,4.06,Cr,Andheri,Ready to move
25529,1,Studio Apartment,999,50,L,Andheri,Ready to move
25530,1,Apartment,555,84,L,Andheri,Ready to move
25531,1,Studio Apartment,555,45,L,Andheri,Ready to move
25533,1,Apartment,555,85,L,Andheri,Ready to move
25535,1,Studio Apartment,999,52,L,Andheri,Ready to move
26478,2,Apartment,958,2.42,Cr,Andheri,Under Construction
26479,1,Apartment,624,1.35,Cr,Andheri,Under Construction
26533,3,Apartment,1262,2.23,Cr,Andheri,Ready to move
26837,2,Apartment,950,1.55,Cr,Andheri,Under Construction
26838,1,Apartment,624,98,L,Andheri,Under Construction
27127,1,Apartment,426,1.3,Cr,Andheri,Ready to move
27511,3,Apartment,1539,2.23,Cr,Andheri,Ready to move
27518,3,Apartment,1113,3.2,Cr,Andheri,Ready to move
27519,2,Apartment,742,2.2,Cr,Andheri,Ready to move
27520,1,Apartment,451,1.45,Cr,Andheri,Ready to move
27521,3,Apartment,1124,3.25,Cr,Andheri,Ready to move
27522,3,Apartment,878,2.55,Cr,Andheri,Ready to move
27523,2,Apartment,678,2.14,Cr,Andheri,Ready to move
27524,2,Apartment,716,2.18,Cr,Andheri,Ready to move
28556,3,Apartment,1276,3.44,Cr,Andheri,Under Construction
28557,3,Apartment,1191,3.17,Cr,Andheri,Under Construction
28558,3,Apartment,1113,2.92,Cr,Andheri,Under Construction
28559,2,Apartment,958,2.42,Cr,Andheri,Under Construction
28576,2,Apartment,762,1.79,Cr,Andheri,Under Construction
28577,1,Apartment,624,1.35,Cr,Andheri,Under Construction
28702,2,Apartment,1091,1.61,Cr,Andheri,Ready to move
28704,2,Apartment,1091,1.61,Cr,Andheri,Ready to move
28728,2,Apartment,883,1.8,Cr,Andheri,Under Construction
28735,3,Apartment,1300,3.5,Cr,Andheri,Ready to move
28950,2,Apartment,895,2.1,Cr,Andheri,Ready to move
28951,2,Apartment,920,1.8,Cr,Andheri,Ready to move
29239,3,Apartment,1700,2.29,Cr,Andheri,Under Construction
29895,2,Apartment,750,2.19,Cr,Andheri,Ready to move
30229,1,Apartment,735,1.2,Cr,Andheri,Under Construction
30273,2,Apartment,970,2.5,Cr,Andheri,Ready to move
30295,2,Apartment,1000,2.32,Cr,Andheri,Ready to move
30369,1,Apartment,652,1.3,Cr,Andheri,Ready to move
30379,3,Apartment,1262,2.23,Cr,Andheri,Ready to move
30458,1,Studio Apartment,410,73,L,Andheri,Ready to move
30459,1,Studio Apartment,400,90,L,Andheri,Ready to move
30488,2,Apartment,925,1.8,Cr,Andheri,Ready to move
30489,2,Apartment,1079,1.65,Cr,Andheri,Ready to move
30490,2,Apartment,1120,1.5,Cr,Andheri,Ready to move
30491,1,Apartment,585,95,L,Andheri,Ready to move
30501,1,Apartment,590,1,Cr,Andheri,Ready to move
30502,2,Apartment,790,1.49,Cr,Andheri,Ready to move
30505,1,Apartment,598,1.35,Cr,Andheri,Ready to move
30506,1,Apartment,550,1.29,Cr,Andheri,Ready to move
30507,2,Apartment,790,1.7,Cr,Andheri,Ready to move
30526,2,Apartment,1000,2.6,Cr,Andheri,Ready to move
30566,1,Apartment,637,1.14,Cr,Andheri,Under Construction
30567,1,Apartment,600,1.09,Cr,Andheri,Under Construction
30571,3,Apartment,1204,2.1,Cr,Andheri,Under Construction
30575,5,Apartment,3099,6.24,Cr,Andheri,Ready to move
30613,2,Apartment,775,1.14,Cr,Andheri,Under Construction
30646,2,Apartment,912,2.2,Cr,Andheri,Ready to move
30804,1,Apartment,550,1.4,Cr,Andheri,Ready to move
30806,2,Apartment,900,1.45,Cr,Andheri,Ready to move
30815,2,Apartment,692,1.85,Cr,Andheri,Under Construction
30821,1,Apartment,735,1.1,Cr,Andheri,Ready to move
30822,2,Apartment,1143,1.7,Cr,Andheri,Ready to move
30827,2,Apartment,856,1.7,Cr,Andheri,Ready to move
30858,2,Apartment,950,1.55,Cr,Andheri,Ready to move
30879,1,Apartment,675,1.1,Cr,Andheri,Ready to move
30887,2,Apartment,1152,2.15,Cr,Andheri,Ready to move
30891,2,Apartment,1145,2.55,Cr,Andheri,Ready to move
30892,2,Apartment,1278,2.5,Cr,Andheri,Ready to move
30965,2,Apartment,1020,1.98,Cr,Andheri,Ready to move
30993,3,Apartment,1100,2.8,Cr,Andheri,Ready to move
31048,3,Apartment,1200,3.15,Cr,Andheri,Ready to move
31110,3,Apartment,1374,3.5,Cr,Andheri,Ready to move
31111,3,Apartment,1363,4,Cr,Andheri,Ready to move
31198,1,Apartment,701,1.45,Cr,Andheri,Ready to move
31199,2,Apartment,928,2,Cr,Andheri,Ready to move
31254,2,Apartment,1120,1.89,Cr,Andheri,Under Construction
31312,2,Apartment,902,1.6,Cr,Andheri,Ready to move
31313,1,Apartment,675,1.38,Cr,Andheri,Ready to move
31314,4,Apartment,1800,3.8,Cr,Andheri,Ready to move
31315,1,Apartment,670,1.3,Cr,Andheri,Ready to move
31316,2,Apartment,950,1.95,Cr,Andheri,Ready to move
31317,3,Apartment,1440,1.9,Cr,Andheri,Ready to move
31334,3,Apartment,1185,4,Cr,Andheri,Ready to move
31335,3,Apartment,1450,3.7,Cr,Andheri,Ready to move
31338,1,Apartment,640,1.15,Cr,Andheri,Ready to move
31349,2,Apartment,950,1.7,Cr,Andheri,Under Construction
31350,2,Apartment,1250,2.45,Cr,Andheri,Ready to move
31351,1,Apartment,620,1.15,Cr,Andheri,Ready to move
31353,1,Apartment,650,1.02,Cr,Andheri,Ready to move
31357,2,Apartment,920,1.85,Cr,Andheri,Ready to move
31359,1,Apartment,567,1.28,Cr,Andheri,Ready to move
31360,3,Apartment,1250,2.33,Cr,Andheri,Ready to move
31367,3,Apartment,1350,2.23,Cr,Andheri,Under Construction
31368,1,Apartment,715,1.05,Cr,Andheri,Ready to move
31369,2,Apartment,920,1.85,Cr,Andheri,Ready to move
31414,2,Apartment,1142,2.2,Cr,Andheri,Ready to move
31415,2,Apartment,1000,2.4,Cr,Andheri,Ready to move
31416,3,Apartment,1128,3,Cr,Andheri,Ready to move
31429,2,Apartment,1338,2.2,Cr,Andheri,Ready to move
31445,2,Apartment,1450,1.3,Cr,Andheri,Ready to move
31458,3,Apartment,1440,1.9,Cr,Andheri,Ready to move
31496,1,Apartment,552,1.1,Cr,Andheri,Ready to move
31498,2,Apartment,765,1.49,Cr,Andheri,Ready to move
31499,2,Apartment,898,1.99,Cr,Andheri,Ready to move
31567,2,Apartment,1132,1.8,Cr,Andheri,Ready to move
31577,2,Apartment,657,2.4,Cr,Andheri,Under Construction
31578,3,Apartment,937,3.3,Cr,Andheri,Under Construction
31590,1,Apartment,650,1.45,Cr,Andheri,Ready to move
31597,2,Apartment,1050,1.85,Cr,Andheri,Ready to move
31598,2,Apartment,850,1.5,Cr,Andheri,Ready to move
31599,4,Apartment,1800,3.25,Cr,Andheri,Ready to move
31600,2,Apartment,850,1.25,Cr,Andheri,Ready to move
31601,1,Apartment,750,1.2,Cr,Andheri,Under Construction
31603,2,Apartment,915,1.65,Cr,Andheri,Ready to move
31604,2,Apartment,960,1.67,Cr,Andheri,Ready to move
31606,2,Apartment,790,1.5,Cr,Andheri,Ready to move
31619,4,Apartment,1250,3.8,Cr,Andheri,Ready to move
31623,2,Apartment,1358,1.88,Cr,Andheri,Under Construction
31624,1,Apartment,838,1.45,Cr,Andheri,Under Construction
31625,1,Apartment,838,1.45,Cr,Andheri,Under Construction
31626,1,Apartment,838,1.45,Cr,Andheri,Under Construction
31627,1,Apartment,640,1.2,Cr,Andheri,Ready to move
31628,1,Apartment,640,1.2,Cr,Andheri,Ready to move
31629,2,Apartment,890,1.5,Cr,Andheri,Ready to move
31630,2,Apartment,950,1.4,Cr,Andheri,Ready to move
31631,2,Apartment,900,1.85,Cr,Andheri,Ready to move
31637,1,Apartment,771,1.4,Cr,Andheri,Under Construction
31643,1,Apartment,720,1.1,Cr,Andheri,Ready to move
31646,3,Apartment,1250,2.64,Cr,Andheri,Under Construction
31647,2,Apartment,950,1.94,Cr,Andheri,Under Construction
31924,1,Apartment,450,76.8,L,Andheri,Under Construction
31980,3,Apartment,967,2.75,Cr,Andheri,Under Construction
31991,3,Apartment,1086,2.64,Cr,Andheri,Ready to move
31992,2,Apartment,841,1.82,Cr,Andheri,Ready to move
32017,2,Apartment,900,2.06,Cr,Andheri,Under Construction
32032,2,Apartment,900,2.22,Cr,Andheri,Under Construction
32033,3,Apartment,1322,3.74,Cr,Andheri,Under Construction
32104,2,Apartment,768,1.35,Cr,Andheri,Ready to move
32107,2,Apartment,850,2.37,Cr,Andheri,Under Construction
32117,2,Apartment,850,2.35,Cr,Andheri,Under Construction
32151,3,Apartment,904,2.87,Cr,Andheri,Under Construction
32169,2,Apartment,883,1.8,Cr,Andheri,Under Construction
32170,3,Apartment,1081,2.5,Cr,Andheri,Under Construction
32188,5,Apartment,1955,4.11,Cr,Andheri,Ready to move
32192,3,Apartment,1103,2.55,Cr,Andheri,Under Construction
32406,2,Apartment,1125,2.3,Cr,Andheri,Ready to move
32407,3,Apartment,1275,2.5,Cr,Andheri,Ready to move
32408,3,Apartment,1275,2.65,Cr,Andheri,Ready to move
32409,2,Apartment,1125,2.32,Cr,Andheri,Under Construction
32534,1,Apartment,426,1.1,Cr,Andheri,Under Construction
32536,1,Apartment,456,1.15,Cr,Andheri,Under Construction
32671,1,Apartment,650,1.1,Cr,Andheri,Under Construction
32682,2,Apartment,1125,2.25,Cr,Andheri,Ready to move
32689,2,Apartment,722,1.95,Cr,Andheri,Under Construction
32718,3,Apartment,860,2.7,Cr,Andheri,Under Construction
32728,3,Apartment,2072,3.88,Cr,Andheri,Under Construction
32740,1,Apartment,600,25,L,Andheri,Under Construction
32798,2,Apartment,694,1.78,Cr,Andheri,Under Construction
32799,2,Apartment,703,1.76,Cr,Andheri,Under Construction
32800,2,Apartment,703,1.82,Cr,Andheri,Under Construction
32801,3,Apartment,882,2.36,Cr,Andheri,Under Construction
32832,3,Apartment,904,2.4,Cr,Andheri,Ready to move
32993,2,Apartment,1235,2.3,Cr,Andheri,Under Construction
33083,3,Apartment,1016,4.36,Cr,Andheri,Ready to move
33084,2,Apartment,818,3.57,Cr,Andheri,Ready to move
33085,3,Apartment,1321,5.73,Cr,Andheri,Ready to move
33407,2,Apartment,1123,2.18,Cr,Andheri,Under Construction
33523,3,Apartment,904,2.4,Cr,Andheri,Ready to move
33551,3,Apartment,860,2.7,Cr,Andheri,Under Construction
33648,1,Apartment,650,1.1,Cr,Andheri,Under Construction
33675,2,Apartment,1000,1.33,Cr,Andheri,Ready to move
33701,2,Apartment,1235,2.31,Cr,Andheri,Under Construction
33702,3,Apartment,1376,2.71,Cr,Andheri,Under Construction
33703,3,Apartment,2115,4,Cr,Andheri,Under Construction
33735,4,Apartment,1890,3.98,Cr,Andheri,Ready to move
33748,3,Apartment,900,2.7,Cr,Andheri,Under Construction
33752,3,Apartment,1446,2.45,Cr,Andheri,Under Construction
33757,3,Apartment,882,2.4,Cr,Andheri,Under Construction
33758,3,Apartment,904,2.37,Cr,Andheri,Under Construction
33766,2,Apartment,943,2.73,Cr,Andheri,Under Construction
33767,2,Apartment,772,2.3,Cr,Andheri,Under Construction
33830,2,Apartment,1235,2.31,Cr,Andheri,Under Construction
33831,3,Apartment,1376,2.71,Cr,Andheri,Under Construction
33832,3,Apartment,2115,4,Cr,Andheri,Under Construction
33842,3,Apartment,1448,2.39,Cr,Andheri,Ready to move
33851,2,Apartment,956,1.89,Cr,Andheri,Ready to move
33883,3,Apartment,1448,2.39,Cr,Andheri,Ready to move
33885,3,Apartment,900,2.7,Cr,Andheri,Under Construction
33888,2,Apartment,1235,2.3,Cr,Andheri,Under Construction
33934,2,Apartment,778,2.15,Cr,Andheri,Under Construction
33943,2,Apartment,736,1.99,Cr,Andheri,Under Construction
33944,3,Apartment,912,2.54,Cr,Andheri,Under Construction
33945,3,Apartment,984,2.79,Cr,Andheri,Under Construction
33946,3,Apartment,1024,3.01,Cr,Andheri,Under Construction
33947,4,Apartment,1103,3.24,Cr,Andheri,Under Construction
33948,4,Apartment,1720,5.07,Cr,Andheri,Under Construction
34024,1,Apartment,750,1.6,Cr,Andheri,Ready to move
34025,1,Apartment,675,1.5,Cr,Andheri,Ready to move
34026,2,Apartment,990,2.25,Cr,Andheri,Ready to move
34027,2,Apartment,1200,3,Cr,Andheri,Ready to move
34028,1,Apartment,550,1.5,Cr,Andheri,Ready to move
34061,1,Apartment,650,1.1,Cr,Andheri,Under Construction
34119,2,Apartment,1235,2.31,Cr,Andheri,Under Construction
34120,3,Apartment,1376,2.71,Cr,Andheri,Under Construction
34121,3,Apartment,2115,4,Cr,Andheri,Under Construction
34175,1,Apartment,750,1.6,Cr,Andheri,Ready to move
34176,1,Apartment,675,1.5,Cr,Andheri,Ready to move
34177,2,Apartment,990,2.25,Cr,Andheri,Ready to move
34178,2,Apartment,1200,3,Cr,Andheri,Ready to move
34179,1,Apartment,550,1.5,Cr,Andheri,Ready to move
34181,3,Apartment,1446,2.45,Cr,Andheri,Under Construction
34218,2,Apartment,1100,2.6,Cr,Andheri,Ready to move
34221,1,Apartment,550,1.2,Cr,Andheri,Ready to move
34306,2,Apartment,813,2.4,Cr,Andheri,Under Construction
34307,2,Apartment,813,2.4,Cr,Andheri,Under Construction
34308,2,Apartment,813,2.4,Cr,Andheri,Under Construction
34309,3,Apartment,1166,3.6,Cr,Andheri,Under Construction
34310,4,Apartment,1455,4.3,Cr,Andheri,Under Construction
34311,3,Apartment,1295,3.85,Cr,Andheri,Under Construction
34332,3,Apartment,1448,2.45,Cr,Andheri,Ready to move
34333,3,Apartment,1854,3.2,Cr,Andheri,Ready to move
34334,3,Apartment,1491,2.57,Cr,Andheri,Ready to move
34365,1,Studio Apartment,300,50,L,Andheri,Under Construction
34450,1,Apartment,775,1.61,Cr,Andheri,Ready to move
